participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P06,hand-grip,0,45,70,355.58,10807,49.42,0,6,4
P06,hand-grip,1,270,70,340.89,8397,70.89,0,6,4
P06,hand-grip,2,0,70,272.04,11225,87.96,0,7,5
P06,hand-grip,3,90,100,-1,8947,,-1,4,1
P06,hand-grip,4,135,70,88.82,7520,46.18,0,6,5
P06,hand-grip,5,0,100,316.69,5115,43.31,0,6,6
P06,hand-grip,6,45,100,90.00,8633,45.00,0,6,5
P06,hand-grip,7,315,70,345.39,6522,30.39,0,6,4
P06,hand-grip,8,270,100,313.79,6403,43.79,0,6,5
P06,hand-grip,9,135,100,80.83,10674,54.17,0,6,5
P06,hand-grip,10,225,100,271.81,6169,46.81,0,6,5
P06,hand-grip,11,90,70,117.96,6433,27.96,1,6,6
P06,hand-grip,12,180,100,-1,4394,,-1,4,6
P06,hand-grip,13,315,100,4.12,7124,49.12,0,6,5
P06,hand-grip,14,225,70,327.40,12463,102.40,0,5,3
P06,hand-grip,15,180,70,317.57,9743,137.57,0,4,4
