participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P99,wrist-worn,0,270,100,276.14,5787,6.14,1,7,5
P99,wrist-worn,1,45,100,267.99,6828,137.01,0,7,4
P99,wrist-worn,2,180,70,185.88,5671,5.88,1,7,6
P99,wrist-worn,3,0,100,346.75,7308,13.25,1,5,6
P99,wrist-worn,4,315,70,278.54,6513,36.46,0,5,3
P99,wrist-worn,5,135,100,45.80,8273,89.20,0,6,3
P99,wrist-worn,6,180,100,182.48,5547,2.48,1,7,7
P99,wrist-worn,7,135,70,324.10,6516,170.90,0,6,5
P99,wrist-worn,8,225,100,267.21,5817,42.21,0,6,6
P99,wrist-worn,9,315,100,271.10,5654,43.90,0,6,6
P99,wrist-worn,10,270,70,275.70,7844,5.70,1,6,5
P99,wrist-worn,11,0,70,41.25,9536,41.25,0,4,4
P99,wrist-worn,12,90,100,236.05,6141,146.05,0,5,5
P99,wrist-worn,13,45,70,259.22,6925,145.78,0,6,6
P99,wrist-worn,14,90,70,268.50,6163,178.50,0,6,6
P99,wrist-worn,15,225,70,314.11,5737,89.11,0,6,6
