participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P99,hand-grip,0,135,100,195.01,9289,60.01,0,7,5
P99,hand-grip,1,0,70,89.27,9544,89.27,0,7,7
P99,hand-grip,2,225,70,268.61,5900,43.61,0,7,6
P99,hand-grip,3,90,70,125.19,6848,35.19,0,7,5
P99,hand-grip,4,45,70,43.78,7629,1.22,1,6,5
P99,hand-grip,5,45,100,85.55,6279,40.55,0,7,6
P99,hand-grip,6,180,70,178.83,6363,1.17,1,7,6
P99,hand-grip,7,270,100,269.13,6835,0.87,1,7,7
P99,hand-grip,8,315,70,358.10,8950,43.10,0,7,6
P99,hand-grip,9,135,70,180.62,6697,45.62,0,7,6
P99,hand-grip,10,90,100,138.09,5820,48.09,0,5,5
P99,hand-grip,11,225,100,226.06,6371,1.06,1,6,6
P99,hand-grip,12,180,100,178.27,6475,1.73,1,6,6
P99,hand-grip,13,315,100,348.55,6528,33.55,0,7,7
P99,hand-grip,14,0,100,358.50,6544,1.50,1,6,6
P99,hand-grip,15,270,70,310.34,5481,40.34,0,7,7
