participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P07,hand-grip,0,225,100,210.26,7959,14.74,1,6,6
P07,hand-grip,1,0,70,17.87,7692,17.87,1,6,7
P07,hand-grip,2,135,100,137.40,7211,2.40,1,6,7
P07,hand-grip,3,270,70,258.98,9362,11.02,1,5,5
P07,hand-grip,4,90,100,113.76,10094,23.76,1,6,6
P07,hand-grip,5,180,70,167.43,7323,12.57,1,6,5
P07,hand-grip,6,180,100,108.48,7349,71.52,0,6,6
P07,hand-grip,7,90,70,102.09,7835,12.09,1,5,5
P07,hand-grip,8,315,70,4.61,9699,49.61,0,6,5
P07,hand-grip,9,45,100,47.43,6528,2.43,1,6,6
P07,hand-grip,10,315,100,335.67,6897,20.67,1,6,6
P07,hand-grip,11,0,100,335.31,7176,24.69,1,7,7
P07,hand-grip,12,270,100,260.33,7534,9.67,1,6,5
P07,hand-grip,13,135,70,170.49,8252,35.49,0,6,6
P07,hand-grip,14,225,70,270.00,12110,45.00,0,3,2
P07,hand-grip,15,45,70,65.99,6746,20.99,1,5,5
