participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P08,hand-grip,0,0,100,31.60,9967,31.60,0,5,4
P08,hand-grip,1,45,70,60.76,13075,15.76,1,3,2
P08,hand-grip,2,45,100,57.85,15301,12.85,1,1,2
P08,hand-grip,3,225,70,-1,14520,,-1,1,1
P08,hand-grip,4,225,100,270.45,6360,45.45,0,5,4
P08,hand-grip,5,0,70,335.67,7983,24.33,1,6,5
P08,hand-grip,6,315,100,355.06,10643,40.06,0,5,3
P08,hand-grip,7,315,70,157.38,14283,157.62,0,3,3
P08,hand-grip,8,90,70,110.02,6218,20.02,1,6,5
P08,hand-grip,9,270,100,247.12,7438,22.88,1,6,6
P08,hand-grip,10,135,100,117.20,6762,17.80,1,5,5
P08,hand-grip,11,90,100,90.00,10107,0.00,1,6,4
P08,hand-grip,12,180,100,133.01,9319,46.99,0,6,5
P08,hand-grip,13,180,70,163.98,6340,16.02,1,7,6
P08,hand-grip,14,135,70,143.88,10047,8.88,1,4,3
P08,hand-grip,15,270,70,295.66,6789,25.66,1,6,4
