participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P04,wrist-worn,0,45,70,313.28,5531,91.72,0,3,3
P04,wrist-worn,1,0,70,24.81,7281,24.81,1,3,3
P04,wrist-worn,2,270,70,224.46,9412,45.54,0,3,3
P04,wrist-worn,3,135,100,98.60,7476,36.40,0,4,4
P04,wrist-worn,4,45,100,54.84,5769,9.84,1,5,5
P04,wrist-worn,5,180,100,354.59,7615,174.59,0,2,2
P04,wrist-worn,6,225,70,112.26,9142,112.74,0,4,4
P04,wrist-worn,7,315,100,89.18,6520,134.18,0,3,3
P04,wrist-worn,8,0,100,65.05,5301,65.05,0,3,3
P04,wrist-worn,9,315,70,212.01,9299,102.99,0,3,3
P04,wrist-worn,10,90,100,131.85,8679,41.85,0,3,3
P04,wrist-worn,11,270,100,239.77,4745,30.23,0,5,5
P04,wrist-worn,12,225,100,289.23,5430,64.23,0,3,3
P04,wrist-worn,13,90,70,73.51,10764,16.49,1,1,1
P04,wrist-worn,14,135,70,-1,7644,,-1,1,1
P04,wrist-worn,15,180,70,-1,5218,,-1,1,1
