participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P02,hand-grip,0,0,70,7.44,6816,7.44,1,5,3
P02,hand-grip,1,315,70,342.89,6465,27.89,1,5,4
P02,hand-grip,2,225,70,-1,6498,,-1,2,1
P02,hand-grip,3,45,100,58.77,7253,13.77,1,5,5
P02,hand-grip,4,135,70,140.16,5740,5.16,1,4,4
P02,hand-grip,5,45,70,73.41,5682,28.41,1,6,5
P02,hand-grip,6,135,100,187.45,5661,52.45,0,3,3
P02,hand-grip,7,0,100,5.55,6499,5.55,1,6,5
P02,hand-grip,8,270,70,332.68,5708,62.68,0,5,4
P02,hand-grip,9,270,100,243.10,6543,26.90,1,5,5
P02,hand-grip,10,225,100,262.15,5626,37.15,0,3,3
P02,hand-grip,11,90,70,121.25,5610,31.25,0,5,3
P02,hand-grip,12,180,100,166.08,4961,13.92,1,5,5
P02,hand-grip,13,90,100,93.92,6115,3.92,1,5,5
P02,hand-grip,14,180,70,166.68,6133,13.32,1,6,4
P02,hand-grip,15,315,100,22.74,5178,67.74,0,6,5
