participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P05,hand-grip,0,90,100,109.59,9961,19.59,1,5,4
P05,hand-grip,1,45,100,70.20,7627,25.20,1,6,4
P05,hand-grip,2,315,100,12.92,7094,57.92,0,6,4
P05,hand-grip,3,225,70,221.64,5564,3.36,1,5,4
P05,hand-grip,4,270,100,1.30,6222,91.30,0,6,6
P05,hand-grip,5,225,100,259.83,7785,34.83,0,5,5
P05,hand-grip,6,135,100,181.54,6069,46.54,0,6,5
P05,hand-grip,7,0,100,45.56,5157,45.56,0,6,6
P05,hand-grip,8,180,70,194.92,7829,14.92,1,5,5
P05,hand-grip,9,90,70,154.63,6122,64.63,0,6,5
P05,hand-grip,10,45,70,89.51,11763,44.51,0,6,6
P05,hand-grip,11,180,100,177.75,6860,2.25,1,6,5
P05,hand-grip,12,135,70,158.88,11173,23.88,1,5,4
P05,hand-grip,13,0,70,21.69,8065,21.69,1,5,5
P05,hand-grip,14,315,70,6.24,8714,51.24,0,6,6
P05,hand-grip,15,270,70,332.22,7030,62.22,0,5,4
