participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P03,wrist-worn,0,0,100,16.06,5499,16.06,1,5,2
P03,wrist-worn,1,270,100,14.34,5848,104.34,0,5,3
P03,wrist-worn,2,45,70,73.38,7303,28.38,1,2,1
P03,wrist-worn,3,315,70,75.30,5894,120.30,0,2,1
P03,wrist-worn,4,225,100,149.24,5855,75.76,0,3,5
P03,wrist-worn,5,90,70,215.07,4808,125.07,0,3,4
P03,wrist-worn,6,315,100,329.60,8401,14.60,1,3,5
P03,wrist-worn,7,135,70,110.33,4872,24.67,1,2,3
P03,wrist-worn,8,180,100,84.61,5247,95.39,0,1,2
P03,wrist-worn,9,180,70,141.37,6671,38.63,0,2,1
P03,wrist-worn,10,225,70,147.66,5716,77.34,0,2,3
P03,wrist-worn,11,270,70,129.83,5984,140.17,0,1,1
P03,wrist-worn,12,45,100,53.16,4996,8.16,1,2,2
P03,wrist-worn,13,135,100,166.69,5463,31.69,0,2,1
P03,wrist-worn,14,0,70,94.10,5701,94.10,0,1,1
P03,wrist-worn,15,90,100,335.47,5561,114.53,0,3,4
