participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P02,wrist-worn,0,270,100,206.68,6942,63.32,0,3,2
P02,wrist-worn,1,135,100,178.27,7817,43.27,0,5,4
P02,wrist-worn,2,0,100,283.68,5715,76.32,0,4,3
P02,wrist-worn,3,45,100,7.20,5592,37.80,0,5,4
P02,wrist-worn,4,45,70,-1,4926,,-1,1,1
P02,wrist-worn,5,180,100,194.48,4989,14.48,1,5,4
P02,wrist-worn,6,90,70,-1,4774,,-1,1,1
P02,wrist-worn,7,90,100,166.43,5166,76.43,0,4,3
P02,wrist-worn,8,225,100,185.31,5165,39.69,0,4,3
P02,wrist-worn,9,0,70,324.36,4621,35.64,0,5,4
P02,wrist-worn,10,135,70,125.74,5173,9.26,1,2,1
P02,wrist-worn,11,315,100,335.85,4996,20.85,1,5,4
P02,wrist-worn,12,270,70,278.05,7893,8.05,1,3,2
P02,wrist-worn,13,225,70,229.21,4697,4.21,1,2,1
P02,wrist-worn,14,315,70,343.14,4264,28.14,1,2,1
P02,wrist-worn,15,180,70,204.39,5675,24.39,1,3,2
