participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P01,hand-grip,0,0,100,90.00,5453,90.00,0,5,5
P01,hand-grip,1,315,100,127.41,5836,172.41,0,5,4
P01,hand-grip,2,135,70,179.17,6320,44.17,0,4,4
P01,hand-grip,3,315,70,134.27,6234,179.27,0,5,4
P01,hand-grip,4,180,100,47.54,6847,132.46,0,6,5
P01,hand-grip,5,180,70,48.32,6947,131.68,0,5,4
P01,hand-grip,6,135,100,92.13,5923,42.87,0,5,5
P01,hand-grip,7,45,70,115.20,6760,70.20,0,5,4
P01,hand-grip,8,270,100,182.96,5816,87.04,0,6,5
P01,hand-grip,9,225,70,136.85,6025,88.15,0,5,4
P01,hand-grip,10,270,70,228.85,5822,41.15,0,5,5
P01,hand-grip,11,90,100,96.73,7442,6.73,1,4,4
P01,hand-grip,12,45,100,132.08,6324,87.08,0,5,5
P01,hand-grip,13,90,70,182.48,6308,92.48,0,5,4
P01,hand-grip,14,225,100,110.03,5762,114.97,0,5,5
P01,hand-grip,15,0,70,359.17,7424,0.83,1,5,5
