participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P03,hand-grip,0,225,100,254.33,5494,29.33,1,3,5
P03,hand-grip,1,270,70,289.27,5430,19.27,1,5,6
P03,hand-grip,2,270,100,272.57,5432,2.57,1,5,7
P03,hand-grip,3,180,70,150.15,5175,29.85,1,5,6
P03,hand-grip,4,135,100,98.06,5066,36.94,0,7,7
P03,hand-grip,5,0,70,14.87,4521,14.87,1,5,6
P03,hand-grip,6,180,100,165.52,5202,14.48,1,6,6
P03,hand-grip,7,45,70,8.00,5382,37.00,0,4,4
P03,hand-grip,8,315,100,337.17,5121,22.17,1,6,6
P03,hand-grip,9,90,100,105.10,6361,15.10,1,5,4
P03,hand-grip,10,90,70,123.78,4974,33.78,0,6,6
P03,hand-grip,11,135,70,125.56,5724,9.44,1,6,7
P03,hand-grip,12,0,100,357.17,6729,2.83,1,3,2
P03,hand-grip,13,45,100,16.84,5355,28.16,1,3,4
P03,hand-grip,14,225,70,251.81,5155,26.81,1,3,5
P03,hand-grip,15,315,70,301.37,5839,13.63,1,4,5
