participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P01,wrist-worn,0,225,100,150.45,5346,74.55,0,5,4
P01,wrist-worn,1,180,100,96.84,6130,83.16,0,5,4
P01,wrist-worn,2,315,100,133.33,6893,178.33,0,5,4
P01,wrist-worn,3,0,100,155.39,7499,155.39,0,4,2
P01,wrist-worn,4,90,70,341.48,7532,108.52,0,4,3
P01,wrist-worn,5,270,100,268.53,5624,1.47,1,4,3
P01,wrist-worn,6,180,70,189.66,6362,9.66,1,4,4
P01,wrist-worn,7,270,70,151.85,5235,118.15,0,3,3
P01,wrist-worn,8,90,100,90.00,6002,0.00,1,4,3
P01,wrist-worn,9,45,100,126.38,6125,81.38,0,3,3
P01,wrist-worn,10,45,70,3.40,8897,41.60,0,4,3
P01,wrist-worn,11,0,70,180.12,6631,179.88,0,4,2
P01,wrist-worn,12,135,100,93.53,6660,41.47,0,4,3
P01,wrist-worn,13,315,70,271.39,7639,43.61,0,4,3
P01,wrist-worn,14,225,70,235.21,6460,10.21,1,3,3
P01,wrist-worn,15,135,70,38.78,6323,96.22,0,3,3
