participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P09,hand-grip,0,225,70,245.48,7981,20.48,1,4,5
P09,hand-grip,1,90,100,99.13,7199,9.13,1,7,5
P09,hand-grip,2,45,70,70.19,7238,25.19,1,6,4
P09,hand-grip,3,270,100,292.22,7177,22.22,1,7,6
P09,hand-grip,4,90,70,123.78,6854,33.78,0,6,6
P09,hand-grip,5,180,100,164.56,7857,15.44,1,6,5
P09,hand-grip,6,315,70,313.38,5431,1.62,1,6,6
P09,hand-grip,7,135,100,123.78,7586,11.22,1,7,6
P09,hand-grip,8,0,70,15.82,7092,15.82,1,4,3
P09,hand-grip,9,180,70,137.79,6244,42.21,0,5,4
P09,hand-grip,10,45,100,51.23,7098,6.23,1,5,4
P09,hand-grip,11,270,70,294.52,5725,24.52,1,5,5
P09,hand-grip,12,0,100,12.75,6216,12.75,1,5,3
P09,hand-grip,13,135,70,123.78,10509,11.22,1,7,6
P09,hand-grip,14,225,100,265.75,7484,40.75,0,6,6
P09,hand-grip,15,315,100,311.27,5226,3.73,1,6,6
