participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P07,wrist-worn,0,0,70,58.62,9808,58.62,0,3,2
P07,wrist-worn,1,90,100,172.93,11289,82.93,0,3,4
P07,wrist-worn,2,0,100,22.00,8472,22.00,1,3,2
P07,wrist-worn,3,270,100,118.26,8528,151.74,0,2,2
P07,wrist-worn,4,90,70,139.38,7729,49.38,0,4,4
P07,wrist-worn,5,180,70,151.30,8557,28.70,1,3,3
P07,wrist-worn,6,135,70,241.11,8240,106.11,0,2,2
P07,wrist-worn,7,315,70,203.75,10589,111.25,0,2,1
P07,wrist-worn,8,225,70,189.66,7809,35.34,0,2,2
P07,wrist-worn,9,270,70,-1,10236,,-1,1,1
P07,wrist-worn,10,45,100,39.02,7826,5.98,1,4,3
P07,wrist-worn,11,180,100,179.04,9420,0.96,1,3,3
P07,wrist-worn,12,315,100,57.85,7895,102.85,0,4,3
P07,wrist-worn,13,45,70,309.25,8276,95.75,0,3,3
P07,wrist-worn,14,135,100,136.10,6813,1.10,1,3,3
P07,wrist-worn,15,225,100,189.27,7660,35.73,0,3,3
