"","評価","計","重み","スコア"
"知的・知覚的要求","60","5","0.3333333333333333","20"
"身体的要求","40","2","0.13333333333333333","5.333333333333333"
"タイムプレッシャー","15","1","0.06666666666666667","1"
"作業成績","35","4","0.26666666666666666","9.333333333333334"
"努力","50","2","0.13333333333333333","6.666666666666667"
"フラストレーション","20","1","0.06666666666666667","1.3333333333333333"
"","0","0","0","43.666666666666664"
