"","評価","計","重み","スコア"
"知的・知覚的要求","100","5","0.3333333333333333","33.33333333333333"
"身体的要求","100","4","0.26666666666666666","26.666666666666668"
"タイムプレッシャー","70","0","0","0"
"作業成績","95","3","0.2","19"
"努力","95","2","0.13333333333333333","12.666666666666666"
"フラストレーション","85","1","0.06666666666666667","5.666666666666667"
"","0","0","0","97.33333333333334"
