"","評価","計","重み","スコア"
"知的・知覚的要求","30","2","0.13333333333333333","4"
"身体的要求","90","5","0.3333333333333333","30"
"タイムプレッシャー","70","3","0.2","14"
"作業成績","90","4","0.26666666666666666","24"
"努力","70","0","0","0"
"フラストレーション","65","1","0.06666666666666667","4.333333333333333"
"","0","0","0","76.33333333333333"
