"","評価","計","重み","スコア"
"知的・知覚的要求","70","5","0.3333333333333333","23.333333333333332"
"身体的要求","60","4","0.26666666666666666","16"
"タイムプレッシャー","20","0","0","0"
"作業成績","60","2","0.13333333333333333","8"
"努力","50","3","0.2","10"
"フラストレーション","35","1","0.06666666666666667","2.3333333333333335"
"","0","0","0","59.666666666666664"
