"","評価","計","重み","スコア"
"知的・知覚的要求","30","1","0.06666666666666667","2"
"身体的要求","30","3","0.2","6"
"タイムプレッシャー","70","4","0.26666666666666666","18.666666666666668"
"作業成績","60","5","0.3333333333333333","20"
"努力","40","2","0.13333333333333333","5.333333333333333"
"フラストレーション","25","0","0","0"
"","0","0","0","52.00000000000001"
