"","評価","計","重み","スコア"
"知的・知覚的要求","80","4","0.26666666666666666","21.333333333333332"
"身体的要求","10","0","0","0"
"タイムプレッシャー","70","2","0.13333333333333333","9.333333333333334"
"作業成績","70","5","0.3333333333333333","23.333333333333332"
"努力","70","3","0.2","14"
"フラストレーション","40","1","0.06666666666666667","2.6666666666666665"
"","0","0","0","70.66666666666667"
