"","評価","計","重み","スコア"
"知的・知覚的要求","90","5","0.3333333333333333","30"
"身体的要求","35","0","0","0"
"タイムプレッシャー","20","1","0.06666666666666667","1.3333333333333333"
"作業成績","55.00000000000001","3","0.2","11.000000000000002"
"努力","60","4","0.26666666666666666","16"
"フラストレーション","30","2","0.13333333333333333","4"
"","0","0","0","62.333333333333336"
