"","評価","計","重み","スコア"
"知的・知覚的要求","80","5","0.3333333333333333","26.666666666666664"
"身体的要求","35","3","0.2","7"
"タイムプレッシャー","20","1","0.06666666666666667","1.3333333333333333"
"作業成績","75","3","0.2","15"
"努力","65","3","0.2","13"
"フラストレーション","30","0","0","0"
"","0","0","0","63"
