"","評価","計","重み","スコア"
"知的・知覚的要求","65","5","0.3333333333333333","21.666666666666664"
"身体的要求","40","2","0.13333333333333333","5.333333333333333"
"タイムプレッシャー","45","0","0","0"
"作業成績","60","4","0.26666666666666666","16"
"努力","35","3","0.2","7"
"フラストレーション","20","1","0.06666666666666667","1.3333333333333333"
"","0","0","0","51.333333333333336"
