"","評価","計","重み","スコア"
"知的・知覚的要求","100","4","0.26666666666666666","26.666666666666668"
"身体的要求","100","5","0.3333333333333333","33.33333333333333"
"タイムプレッシャー","70","0","0","0"
"作業成績","90","3","0.2","18"
"努力","90","2","0.13333333333333333","12"
"フラストレーション","80","1","0.06666666666666667","5.333333333333333"
"","0","0","0","95.33333333333333"
