"","評価","計","重み","スコア"
"知的・知覚的要求","80","4","0.26666666666666666","21.333333333333332"
"身体的要求","10","0","0","0"
"タイムプレッシャー","60","1","0.06666666666666667","4"
"作業成績","100","5","0.3333333333333333","33.33333333333333"
"努力","90","3","0.2","18"
"フラストレーション","70","2","0.13333333333333333","9.333333333333334"
"","0","0","0","85.99999999999999"
