"","評価","計","重み","スコア"
"知的・知覚的要求","70","5","0.3333333333333333","23.333333333333332"
"身体的要求","30","2","0.13333333333333333","4"
"タイムプレッシャー","30","0","0","0"
"作業成績","30","4","0.26666666666666666","8"
"努力","50","3","0.2","10"
"フラストレーション","30","1","0.06666666666666667","2"
"","0","0","0","47.33333333333333"
