"","評価","計","重み","スコア"
"知的・知覚的要求","45","5","0.3333333333333333","15"
"身体的要求","35","3","0.2","7"
"タイムプレッシャー","15","1","0.06666666666666667","1"
"作業成績","45","4","0.26666666666666666","12"
"努力","20","2","0.13333333333333333","2.6666666666666665"
"フラストレーション","15","0","0","0"
"","0","0","0","37.666666666666664"
