"","評価","計","重み","スコア"
"知的・知覚的要求","30","3","0.2","6"
"身体的要求","65","5","0.3333333333333333","21.666666666666664"
"タイムプレッシャー","10","0","0","0"
"作業成績","30","1","0.06666666666666667","2"
"努力","70","4","0.26666666666666666","18.666666666666668"
"フラストレーション","60","2","0.13333333333333333","8"
"","0","0","0","56.33333333333333"
