"","評価","計","重み","スコア"
"知的・知覚的要求","65","5","0.3333333333333333","21.666666666666664"
"身体的要求","30","4","0.26666666666666666","8"
"タイムプレッシャー","30","1","0.06666666666666667","2"
"作業成績","45","2","0.13333333333333333","6"
"努力","60","2","0.13333333333333333","8"
"フラストレーション","35","1","0.06666666666666667","2.3333333333333335"
"","0","0","0","48"
