"","評価","計","重み","スコア"
"知的・知覚的要求","25","4","0.26666666666666666","6.666666666666667"
"身体的要求","10","2","0.13333333333333333","1.3333333333333333"
"タイムプレッシャー","20","3","0.2","4"
"作業成績","35","5","0.3333333333333333","11.666666666666666"
"努力","10","1","0.06666666666666667","0.6666666666666666"
"フラストレーション","30","0","0","0"
"","0","0","0","24.333333333333332"
