"","評価","計","重み","スコア"
"知的・知覚的要求","80","5","0.3333333333333333","26.666666666666664"
"身体的要求","30","2","0.13333333333333333","4"
"タイムプレッシャー","0","0","0","0"
"作業成績","20","1","0.06666666666666667","1.3333333333333333"
"努力","70","4","0.26666666666666666","18.666666666666668"
"フラストレーション","60","3","0.2","12"
"","0","0","0","62.666666666666664"
